,,Comment,Remember,,Understand,,,,,,,Apply,,Analyze,,,Evaluate,,Create,,,,,,
Action Programming,The choosing of one or more actions for future execution.,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,
Actions Have Diegetically Social Consequences,Actions by a person in a game world influences how other people perceive and interact with that person.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Grey
Actor Detachment,The cognitive and psychological detachment of players between how other players perform in a game and who they are outside the game.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Grey
Adventures,Pre-created events and challenges that can be used to provide content for game sessions.,e.g. cutscenes to show knowledge,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Agents,"Diegetic game elements that can be interpreted as having goals in game worlds, and working towards those goals.","very vague pattern, can be anything",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,
AI Players,AI Agents that are supposed to be able to function on a level comparable to players.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,Grey
Aim & Shoot,The action of taking aim at something and then shooting at it.,can be used to categorize things by shooting at them,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Alarms,Alarms are abstract game elements that provide information about particular game state changes.,malus if the player does something not know,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Algorithmic Agents,Algorithms created to provide what appears to be intentional behavior.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,Grey
Alien Space Bats,Implausible explanations for alternative realities.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Grey
Alignment,The goal of forming a linear alignment of game elements.,can be used to categorize things,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Alternate Reality Gameplay,Games where it is more or less unclear if information about the game and actions performed have to do with a game or the real world.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Grey
Altruistic Actions,Game actions that are beneficial to somebody but not directly to the players who performed them.,cooperative gameplay,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Always Vulnerable,The situation where players' resources in game instances can be threatened even when they are not playing.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Grey
Ambiguous Responses,The ability of agents to gives responses that can be interpreted in two or more ways.,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Ammunition,Game items that are use as resources for using weapons.,different types of ammunition for different things,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Analysis Paralysis,Halts to gameplay due to one or more players spending considerable amounts of time planning or understanding the consequences of different possible actions.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Grey
Anonymous Actions,Actions that cannot be unconditionally linked to a specific player.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Grey
Area Control,"Being in control over who can move within an area in the game world, or having access to actions linked to locations in the game world.",need to control the correct area,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Arenas,Open locations in game worlds that naturally or by design become battlegrounds.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Grey
Arithmetic Progression,A linear relationship between the effort put into an action and its potential reward or risk.,equal to rewards,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Rewards,FALSE,Grey
Armor,Game Items that protect from damage.,start with armor and loose it when you answer incorrect,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Artifact-Location Proximity,Game rules that depend on technology-sensed proximities between physical artifacts and physical locations.,a way to test answers by bringing the correct artifact to the correct location,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Asymmetric Gameplay,Gameplay which for one player does not have symmetry with the gameplay of another player or that of previous game instances.,e.g. multiplayer game with tutor - student roles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,
Asymmetric Goals,Goals that from a systemic perspective are asymmetric to each other.,"can be used to enhance other patterns, but not sure how to use for something specific",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,Grey
Asymmetric Resource Distribution,"The one-sentence ""definition"" that should be in italics.","can be used to enhance other patterns, but not sure how to use for something specific",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,Grey
Asymmetric Starting Conditions,That players do not begin their game sessions with the same possibilities.,"can be used to enhance other patterns, but not sure how to use for something specific",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,Grey
Asynchronous Collaborative Actions,Collaboration between players where the actions do not need to be done simultaneously or be observed by the other collaborators.,Can be used to enhance almost all types of coop learning gameplay,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,Grey
Asynchronous Gameplay,Gameplay that does not require - or demands - that not all players are playing at the same time.,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,
Attention Demanding Gameplay,Gameplay where players can easily suffer bad consequences for being inattentive at any given point.,can be used to enhance gameplay,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,Grey
Auto-Aim,Mechanics that make aiming easier for players in games by automating the activity to some extent.,accesibility for aim & shoot,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Automated Responses,Events triggered by game state configurations designed to either inform players or make responses for them.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,ToDo
Auxiliary Game Screens,Games making use of several different physical screens for gameplay.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Grey
Avatars,"Game elements that diegetically represent players, providing their main means of interacting with the world and whose fate is connected to the players' success and failure in the game.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Awareness of Surroundings,The ability of algorithmic agents to detect and react to all diegetically relevant phenomena.,Aspect of Algorithmic Agents,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Back-to-Back Game Sessions,Playing a game again directly after finishing a game session and swapping the roles players have.,can enhance Asymetric Gameplay,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,Grey
Backseat Gamers,People not playing a game that are trying to influence gameplay of a game by influencing the actions and opinions of the players.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Backtracking Levels,Levels that need to be travel through first one way and then back again the same way again.,replaying levels and using the learned knowledge,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Bag Building,Gameplay consisting of putting tokens into a bag and later removing them from said bag.,"a way to make stuff randomly drawn, e.g. involuntarily stuff that needs to be cleansed
maybe combine with ""normal"" gameplay that needs drawing stuff and if a special token gets drawn the player needs to answer a question",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Bag Management,Actions that allow tokens to be removed or replaced from bags without playing them.,only works with bag building,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Balancing Effects,Rules and effects in games that lessen the differences of value used to measure competition between players.,enhance gameplay by having catch up mechanisms,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Rewards,FALSE,Grey
Bases,Immovable game elements that provide players with actions or resources.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Beat the Leader,Joint gameplay efforts by several players against a player they perceive as leading the particular game instance.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Betrayal,The letdown of an explicit or implicit agreement with another agent.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Betting,Investing resources for hoped rewards based on a non-certain outcome of an event.,equal to rewards,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Rewards,FALSE,Grey
Bidding,Committing resources in a competition against others to determine who can make a specific purchase or trade.,equal to rewards,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,Grey
Big Dumb Objects,Very large artificial objects in game worlds that provide evidence of powerful entities or groups of individuals.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Bluffing,Conveying false information to other players in order to influence their behaviors to one's own advantage.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Bookkeeping Tokens,Game elements that do not represent diegetic objects in the game world but instead uphold abstract parts of the game state.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Boss Monsters,Powerful enemies players have to overcome to reach goals in games.,the bossfight can be used to test the knowledge of the player and gatekeep more content,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Budgeted Action Points,Points that players use to be able to do actions.,same as action caps,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,
Cameras,Abstract game entities that provide view points of game worlds.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Campaigns,A series of designed gameplay experiences for a game that are intended to be played in sequence.,used to gradually raise the difficulty level,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Camping,"The ""activity"" of staying in one location of a game world for extended periods of time waiting for opportunities to appear there.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Capture,The elimination or change of ownership of an game element.,see area control,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Card Building,Actions that modify the gameplay effects and mechanics of individual cards.,"a way to make stuff randomly drawn, e.g. involuntarily stuff that needs to be cleansed
maybe combine with ""normal"" gameplay that needs drawing stuff and if a special token gets drawn the player needs to answer a question",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Cards,"Game elements used to distribute resources, often with different characteristics, without necessarily revealing the distribution.","a way to make stuff randomly drawn, e.g. involuntarily stuff that needs to be cleansed
maybe combine with ""normal"" gameplay that needs drawing stuff and if a special token gets drawn the player needs to answer a question",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Casual Gameplay,"Games where gameplay is easy to begin, perform, pause, and end, without negatively affect any players' experience.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Challenging Gameplay,That players experience the gameplay as difficult or challenging their abilities and skills.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Changes in Perception of Real World Phenomena due to Gameplay,Gameplay that makes people reconsider their understanding of real world phenomena.,more of a goal then a game design pattern,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Character Alignments,A categorization system for ethical and moral stances of characters in a game,can be used as a reward/penalty,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,
Character Defining Actions,That the choices of actions players make during gameplay define their characters.,see Abstract Player Construct Development,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,
Character Development,"Changes in characters' abilities, skills, or powers as part of gameplay.",see Abstract Player Construct Development,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,
Character Levels,"An enumeration of states characters can progress through, gaining and improving abilities as they are reached.",see Abstract Player Construct Development,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,
Characteristics,Data and facts specific to individual entities in a game.,the characteristics can be used as a hint to recall knowledge/ use to categorize etc.,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Characters,The abstract characteristics of diegetic persons.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,Grey
Chargers,Chargers are locations in game worlds that affect the players' resources when they are in the location.,e.g. can be used to give the player access to certain information when in a specific area,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Chat Channels,Text-based message channels in games.,"can enhance multiplayer, see communication channels",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,Grey
Check Points,Locations in game worlds which signify game state changes directly related to the progress of some goal.,can be used to gatekeep difficulty,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Choke Points,Areas in game worlds which can be used to block access to other areas.,can be used to gatekeep difficulty,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Clickability,Noticeable feedback loops based on clicking as input which are meant to be enjoyable in themselves.,can be used to enhance any gameplay,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,Grey
Closure Points,"Events during gameplay where pieces of the game state is, or can be, removed.",can be used to gatekeep difficulty,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Clues,Game elements or information that instruct players how goals can be fulfilled.,can greatly enhance every learning game,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,Grey
